"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"54482","Mediterranean","October 13, 2020","2020","Oct","","12","12","5","","12","2","Presumed drowning","Boat departed from Mostaganem on 13 October and malfunctioned in unspecified location at sea. 5 returned to Algeria by boat and the missing jumped in the waters near Moroccan coasts","Association Marocaine des Droits Humains - Section Nador","35.373077527218, -2.668987281250","Western Mediterranean","https://archive.vn/wj2ec","Uncategorized","4"
"54756","US-Mexico Border","October 12, 2020","2020","Oct","1","","1","","","","","Presumed drowning","Rio Conchos, Chihuahua, Mexico","Instituto Nacional de Migración (Grupos Beta)","29.549850700000, -104.592034900000","","","Central America","5"
"54679","US-Mexico Border","October 12, 2020","2020","Oct","1","","1","","","1","","Hyperthermia","Desert near Ocotillo, Imperial County, California, USA","Imperial County Coroner's Office","32.692438600000, -116.022665300000","","","Northern America","5"
"54495","Mediterranean","October 12, 2020","2020","Oct","2","","2","","","2","","Presumed drowning","20 nautical miles south of Cartagena, Murcia, Spain","Spanish Red Cross, La Opinión de Murcia","36.939632360945, -0.727418860938","Western Mediterranean","https://archive.ph/3zzli","Uncategorized","4"
"54446","US-Mexico Border","October 12, 2020","2020","Oct","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.006893000000, 31.365970000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54220","Mediterranean","October 12, 2020","2020","Oct","1","","1","","","1","","Presumed drowning","Bodies washed ashore at Basis Shore, Libya","IOM Libya","32.826361162606, 13.471006781250","Central Mediterranean","","Uncategorized","4"
"54204","Central America","October 11, 2020","2020","Oct","1","","1","","","1","","Injuries from violent attack","Venezuela Ranch in Tapachula, Chiapas, Mexico","STN Honduras, El Heraldo","14.905559900000, -92.263420600000","","https://archive.ph/Z6ZZW, https://archive.vn/vP3cJ","Central America","1"
"54203","Middle East","October 11, 2020","2020","Oct","1","","1","","","1","","Drowning","Evros/Meriç River, Ipsala District - Yenikarpuzlu Village Area / Vasili Area (Infantry Zone), Turkey","Gendarmerie General Command Turkey via IOM Turkey","40.882920016016, 26.250896333008","","","Western Asia","5"
"54201","Mediterranean","October 11, 2020","2020","Oct","17","6","23","7","8","","3","Presumed drowning","Unspecified location off the coast of the city of Sfax, Tunisia","IOM Tunisia, Alarm Phone, Reuters, Le Monde","34.631415066442, 10.858896553125","Central Mediterranean","https://archive.vn/ssFRJ, https://archive.vn/9kSWn, https://archive.vn/ws5HC, https://archive.ph/aZTmf","Uncategorized","4"
"54341","Mediterranean","October 10, 2020","2020","Oct","1","2","3","5","","","","Presumed drowning","Boat set to sail on 9 Oct to Spain from Paradis Plage, Ain El Turk, Oran before crashing into rocks and capsizing by Habibas Island (12 KM off the coast Northwest of Oran, Algeria)","En-Nahar Online, Akhbar El Watane, La Nation Arabe","35.723781400000, -1.132303700000","Western Mediterranean","https://archive.vn/j3n1L, https://archive.vn/qaSii, https://archive.vn/6uMSK","Uncategorized","3"
"54191","Central America","October 09, 2020","2020","Oct","1","","1","","","1","","Unknown (decomposed remains)","At the Honduras-Guatemala border, close to Corinto, Honduras","Diario La Tribuna, Tu nota","15.585405300000, -88.370066200000","","https://archive.vn/BgTuH, https://archive.vn/jOBUa","Central America","3"
"54782","North Africa","October 09, 2020","2020","Oct","","20","20","","","","","Presumed drowning","Left from Dakhla, Morocco with the Canary Islands as presumed destination, disappeared without a trace","Alarm Phone","24.469422913176, -16.412643673437","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/7xtNL","Uncategorized","4"
"54526","Central America","October 09, 2020","2020","Oct","1","","1","","","1","","Unknown","Corinto Border Point, Honduras, close to the border with Guatemala","HCH TV","15.595996000000, -88.372294800000","","https://archive.ph/OwXkm","Central America","1"
"54445","US-Mexico Border","October 09, 2020","2020","Oct","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-113.019560000000, 32.168110000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54219","Mediterranean","October 09, 2020","2020","Oct","2","","2","","","2","","Presumed drowinig","Bodies washed ashore at Khumes Shore, Libya","IOM Libya","32.752474455616, 13.822569281250","Central Mediterranean","","Uncategorized","4"
"54488","North Africa","October 08, 2020","2020","Oct","1","","1","","","1","","Presumed drowning","Body washed ashore at Es Caragol, Mallorca, Spain","Ultima Hora","39.278557200000, 3.043380000000","Western Mediterranean","https://archive.vn/HvRTs","Uncategorized","1"
"54202","Middle East","October 08, 2020","2020","Oct","1","","1","","","1","","Heart attack","Close to the border with Greece, Meriç District, Turkey","Gendarmerie General Command Turkey via IOM Turkey","41.212249090466, 26.326521816406","","","Western Asia","5"
"54187","Europe","October 08, 2020","2020","Oct","1","","1","9","","1","","Vehicle Accident","On the old highway of Kavala-Thessaloniki, Eastern Macedonia and Thrace region, Greece","Regional Police Department of East Macedonia/Thrace via IOM Greece","41.129512600000, 24.887719100000","","","Southern Europe","5"
"54702","US-Mexico Border","October 08, 2020","2020","Oct","1","","1","","","1","","Uknown","8000 Military Road, Alamo, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.209482400000, -98.419462300000","","","Northern America","5"
"54443","US-Mexico Border","October 07, 2020","2020","Oct","1","","1","","","1","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.965630000000, 31.769050000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54190","US-Mexico Border","October 07, 2020","2020","Oct","1","","1","","1","","","Dehydration","Unspecified location in the desert, Sonora, Mexico","Tu nota, Tiempo","29.297224700000, -110.330881400000","","https://archive.vn/xzdM0, https://archive.vn/XAgxX","Central America","3"
"54189","Europe","October 07, 2020","2020","Oct","2","","2","","","2","","Hit by train","In Poljavnice, Novi Grad Municipality, Bosnia and Herzegovina","N1, Faktor","45.081024300000, 16.405641400000","Western Balkans","https://archive.ph/Y1gal, https://archive.vn/8YCVP","Southern Europe","3"
"54214","South America","October 07, 2020","2020","Oct","1","","1","","","1","","Illness (malnutrition and toxoplasmosis)","In a bus going from Bogota to Cúcuta, Colombia - found at the bus station in Cúcuta","Noticias Caracol, La Opinión","7.889097100000, -72.496689600000","","https://archive.ph/gvn9j, https://archive.ph/2z1GW","South America","3"
"54186","North Africa","October 07, 2020","2020","Oct","1","","1","","","","","Unknown","Remains found at Fadraaj, in the suburbs of Bani Walid, Libya","ALSALAM Baniwalid Association for Charity","31.797583100000, 14.053676000000","","https://archive.ph/xVk6r","Northern Africa","4"
"54444","US-Mexico Border","October 07, 2020","2020","Oct","1","","1","","","1","","Hanging","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.483850000000, 31.867510000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54180","US-Mexico Border","October 06, 2020","2020","Oct","1","","1","","","1","","Presumed drowinig","El Patinadero, Nuevo Laredo, Tamaulipas, Mexico","Líder Web, Hoy Tamaulipas","27.479048100000, -99.481405700000","","https://archive.ph/s9UWP, https://archive.vn/AiiKX","Central America","3"
"54442","US-Mexico Border","October 06, 2020","2020","Oct","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.353530000000, 32.088540000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54441","US-Mexico Border","October 06, 2020","2020","Oct","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.944167000000, 31.946056000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54494","Mediterranean","October 06, 2020","2020","Oct","","4","4","","","","","Pressumed drowning","Off the coast of Cartagena, Murcia, Spain","Spanish Red Cross","37.335868552247, -0.521425208594","Western Mediterranean","","Uncategorized","4"
"54306","Sub-Saharan Africa","October 06, 2020","2020","Oct","1","","1","","","1","","Presumed drowning","Body washed ashore at Hamo 5 Beach, Guédiawaye, Senegal","SENEGO","14.778255400000, -17.410296800000","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/jZYkZ","Uncategorized","1"
"54205","Middle East","October 05, 2020","2020","Oct","4","","4","6","","","","Bomb explosion","At the Syria-Turkey border close to Kızıltepe, Mardin, Turkey","Mezopotamya Ajansi","37.081444321642, 40.650207486719","","https://archive.vn/C7ZbS","Western Asia","1"
"54179","Europe","October 05, 2020","2020","Oct","1","","1","","","1","1","Sickness and lack of access to healthcare","In Ingrassia hospital in Palermo, Italy. He disembarked from the quarantine ship, Allegra, on 02.10.2020. He had been rescued by Open Arms on 08.09.2020 and the transhipment took place on 18.09.2020","Agenzia Italia, La Republicca","38.093256800000, 13.309957300000","Central Mediterranean","https://archive.vn/z08YW, https://archive.vn/QYldr","Southern Europe","3"
"54246","Middle East","October 04, 2020","2020","Oct","2","","2","70","","","","Suffocation","Inside a minivan, intercepted in İpekyolu district, Van Province, Turkey","Anadolu Agency","38.601426200000, 43.630910000000","","https://archive.vn/fiGwe","Western Asia","1"
"54181","North Africa","October 04, 2020","2020","Oct","1","","1","","","1","","Accident (fell from roof)","In an abandoned building in the city center of Zuwara, Libya","Security Directorate Zuwara","32.923458800000, 12.077541100000","","https://archive.vn/xBwAR","Northern Africa","5"
"54206","US-Mexico Border","October 03, 2020","2020","Oct","1","","1","","","","","Presumed drowning","In the American Canal in El Paso, Texas, USA","El Diario de El Paso","31.750529188231, -106.491244424910","","https://archive.vn/p10P5","Northern America","1"
"54177","North Africa","October 03, 2020","2020","Oct","2","","2","","","2","","Dehydration","In a hospital in Las Palmas, Spain - Rescued the day before close to Pasito Blanco, San Bartolomé de Tirajana, Las Palmas, Spain;  after being at sea for 8 days.","El Diario, Txema Santana","28.100883700000, -15.465389700000","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/4TntV, https://archive.vn/8ij7g, https://archive.vn/S1RPv","Uncategorized","3"
"54178","Horn of Africa","October 02, 2020","2020","Oct","8","","8","26","","8","","Drowning","Unspecified location off the coast of Guehere, Djibouti","IOM Djibouti","11.937876031096, 43.293900264063","","https://archive.ph/wGoDG","Uncategorized","4"
"54440","US-Mexico Border","October 02, 2020","2020","Oct","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.078453900000, 31.390420000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54193","Central America","October 02, 2020","2020","Oct","1","","1","","","1","","Unknown (pending)","Chepigana, Darien province, Panama","Servicio Nacional de Migración Panamá","8.301866000000, -78.054047000000","Darien Gap","https://archive.ph/RXR1j","Central America","5"
"54176","North Africa","October 02, 2020","2020","Oct","1","","1","30","","1","","Dehydration","Rescued close to Pasito Blanco, San Bartolomé de Tirajana, Las Palmas, Spain - They had been at sea for 8 days","La Provincia, Europa Press","27.650910665417, -15.641237592187","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/JEOR7, https://archive.vn/x9Mho, https://archive.vn/S1RPv","Uncategorized","3"
"54174","US-Mexico Border","October 01, 2020","2020","Oct","1","","1","","1","","","Presumed exposure","On a ranch close to Encino, Brooks County, Texas, USA","Diario Cambio","26.936162800000, -98.135282900000","","https://archive.vn/CJ5fM","Northern America","1"
"54173","Central America","October 01, 2020","2020","Oct","1","","1","","","1","1","Accident (fell from a moving truck)","Highway CA13 at KM #300, close to Entre Rios, Puerto Barrios, Izabal, Guatemala","Cuarto Poder, Prensa Libre","15.634834100000, -88.521479500000","","https://archive.vn/8vftw, https://archive.vn/Zyvfg, https://archive.ph/GeNRo","Central America","3"
"54781","North Africa","October 01, 2020","2020","Oct","","53","53","","24","","","Presumed drowning","Left from Dakhla, Morocco with the Canary Islands as presumed destination, disappeared without a trace","Caminando Fronteras, Alarm Phone","24.399406527714, -16.379684689062","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/7xtNL, https://archive.vn/cXRYr, https://archive.ph/78B8r","Uncategorized","4"
"54172","Mediterranean","October 01, 2020","2020","Oct","2","","2","","","2","1","Presumed drowning","Bodies washed ashore near of a Farwa Island, Zuwara, Libya.","IOM Libya","33.122422433197, 11.729102610156","Central Mediterranean","","Uncategorized","4"
"54229","Mediterranean","October 01, 2020","2020","Oct","1","","1","","","1","","Presumed drowning","Remains recovered in the Strait of Gibraltar ","Helena Maleno","35.998239800000, -5.687873600000","Western Mediterranean","https://archive.vn/egiN2","Uncategorized","4"
"54701","US-Mexico Border","October 01, 2020","2020","Oct","1","","1","","","1","","Drowning","2800 Bentsen Palm, Mission, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.185486300000, -98.380299100000","","","Northern America","5"
"54192","Central America","October 01, 2020","2020","Oct","1","","1","","","1","","COVID-19","Checkpoint (Puesto Avanzado de Vigilancia) ""Bajo Chiquito"", Darien province, Panama","Servicio Nacional de Migración Panamá","7.868171300000, -77.836728200000","Darien Gap","https://archive.ph/RXR1j","Central America","5"
"54171","Mediterranean","September 30, 2020","2020","Sep","1","","1","","","1","","Presumed hypothermia","Body found at sea on a floating device, close to La Alcaidesa, Cadiz, Spain","El Diario, El Estrecho Digital","36.226415963865, -5.273848396484","Western Mediterranean","https://archive.vn/t1P3Y, https://archive.vn/6KNhg","Uncategorized","3"
"54170","Europe","September 30, 2020","2020","Sep","2","","2","18","","","","Injuries inflicted during fight","In the immediate vicinity of the makeshift camp in Žegar, Bihać, Bosnia and Herzegovina","Klix.ba, ANSAmed, via IOM Bosnia and Herzegovina","44.811962800000, 15.868564500000","Western Balkans","https://archive.vn/1Cplp, https://archive.vn/SN8UM","Southern Europe","3"
"54208","US-Mexico Border","September 30, 2020","2020","Sep","1","","1","","","1","","Presumed drowning","Rio Bravo, Díaz Ordaz, Tamaulipas, Mexico","El Chilito News","26.234700803511, -98.580349807812","","https://archive.vn/X8LAL","Central America","1"
"54225","Mediterranean","September 29, 2020","2020","Sep","1","","1","68","","","1","Unknown (presumed dehydration, hypothermia)","Boat rescued 3 nautical miles off the coast of Ben Gardane, Tunisia - They had left from Libya 7 days before","Migrant Rescue Watch","33.418721955283, 11.552087816797","Central Mediterranean","https://archive.vn/0Jfdx","Uncategorized","4"
"54439","US-Mexico Border","September 29, 2020","2020","Sep","1","","1","","","1","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.632750000000, 31.523510000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54437","US-Mexico Border","September 28, 2020","2020","Sep","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.373740000000, 32.071330000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54436","US-Mexico Border","September 28, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.130917000000, 31.961367000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54153","Mediterranean","September 28, 2020","2020","Sep","5","","5","","","5","","Presumed drowning","Bodies washed ashore near the beach of Equestrian Club, Zuwara, Libya","IOM Libya","32.943053157263, 12.076511131738","Central Mediterranean","","Uncategorized","4"
"54435","US-Mexico Border","September 28, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.126533000000, 31.967350000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54152","Mediterranean","September 28, 2020","2020","Sep","4","","4","","","4","","Presumed drowning","Bodies washed ashore near the beach of Ra's Ajdir, Libya","IOM Libya","33.148840900000, 11.563174400000","Central Mediterranean","","Uncategorized","4"
"54151","Mediterranean","September 28, 2020","2020","Sep","","3","3","1","","","","Unknown (presumed hypothermia, dehydration)","Unspecified location in the Alboran Sea - They had left from the coast of Ceuta 10 day before","Murcia Today, Europa Press","36.001378841254, -5.408078090625","Western Mediterranean","https://archive.ph/YSkPG, https://archive.vn/5HZzs","Uncategorized","3"
"54438","US-Mexico Border","September 28, 2020","2020","Sep","1","","1","","1","","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-110.261700000000, 31.558410000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54150","Europe","September 27, 2020","2020","Sep","1","","1","","","1","","Presumed drowning","Body found on the bank of the Drina river in the village of Tabanci, near Zvornik, Bosnia and Herzegovina","Sarajevo Times, N1 Info","44.482311621525, 19.131708027197","Western Balkans","https://archive.vn/ljNIU, https://archive.vn/0tZqh","Southern Europe","3"
"54155","Mediterranean","September 25, 2020","2020","Sep","3","","3","","","","","Presumed drowning","Bodies recovered at unspecified location off the coast of Algeria","Algeria Ministry of Defense","36.247309194891, 0.181128765430","Western Mediterranean","https://archive.vn/s2BIa","Uncategorized","5"
"54148","Mediterranean","September 25, 2020","2020","Sep","3","13","16","22","5","8","2","Presumed drowning","Approximate location of rescue 34 02N 14 47E - Boat departed from Zliten, Libya on 23.09.2020. Survivors were disembarked at Tripoli Port.","IOM Libya","33.958076585764, 14.820129784335","Central Mediterranean","","Uncategorized","4"
"54154","Central America","September 25, 2020","2020","Sep","1","","1","","","1","","Accident (fell from train)","On km. 108 of the train tracks, in Ejido Puente Negro, Sabinas, Coahuila, Mexico","Zócalo","28.440664200000, -100.755675900000","","https://archive.vn/yxWKh","Central America","1"
"54335","South America","September 25, 2020","2020","Sep","1","","1","","1","","","Bilateral pulmonary thromboembolism, pelvic venous thrombosis and a recent hysterectomy","In the Regional Hospital of Concepción, Bio Bio Region, Chile","Bio Bio Chile","-36.824943400000, -73.037945100000","","https://archive.ph/9TRPl","South America","1"
"54149","Mediterranean","September 25, 2020","2020","Sep","","15","15","120","","11","","Presumed drowning","Off the coast of Al Khums, Libya. Last known location 34°04N 014°04E. Survivors were disembarkedt at Abusitta DP.","IOM Libya","34.207194271095, 13.638115196715","Central Mediterranean","","Uncategorized","4"
"54712","Europe","September 24, 2020","2020","Sep","1","","1","","","1","","Vehicle Accident","Unspecified location in Italy","Rudaw, NRT","41.871940000000, 12.567380000000","","https://archive.vn/rdPVy, https://archive.vn/VPhgd, https://archive.vn/kpWES","Southern Europe","3"
"54258","South America","September 24, 2020","2020","Sep","1","","1","","1","","1","Shot","Soledad, Atlantic Department, Colombia","La Manada Digital","10.921547200000, -74.768817300000","","https://archive.ph/91vEH","South America","1"
"54780","North Africa","September 24, 2020","2020","Sep","","59","59","","10","","","Presumed drowning","Departed 50km south from Laayoune, Morocco - disappeared without a trace in the Atlantic Ocean","Caminando Fronteras","26.672212635174, -14.340886412085","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/78B8r","Uncategorized","4"
"54434","US-Mexico Border","September 24, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.369080000000, 32.101370000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54209","Mediterranean","September 24, 2020","2020","Sep","1","","1","","","","","Presumed drowning","Bodies washed ashore at Al -Harsh, Libya","IOM Libya","31.487075278135, 16.437315375000","Central Mediterranean","","Uncategorized","4"
"54433","US-Mexico Border","September 24, 2020","2020","Sep","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-113.133313000000, 32.402672000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54156","Sub-Saharan Africa","September 24, 2020","2020","Sep","10","","10","14","","","1","Presumed drowning","Unspecified location coast off the coast of Mayotte, France - The boat had departed from Anjouan island, Comoros on that same day.","Le Monde, Seneweb","-12.682844682524, 45.072860210938","","https://bit.ly/3n2V115, https://bit.ly/3cG9BH7, https://bit.ly/3n0s3z5","Uncategorized","3"
"54432","US-Mexico Border","September 23, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.104350000000, 31.721533000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54169","US-Mexico Border","September 23, 2020","2020","Sep","1","","1","","","1","","Presumed exposure","Close to ""La aguja"" in the desert close to Phoenix, Arizona, USA","Municipios Puebla","33.447024800000, -111.959139900000","","https://archive.vn/mVUOE","Northern America","1"
"54431","US-Mexico Border","September 23, 2020","2020","Sep","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.871050000000, 31.680100000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54755","US-Mexico Border","September 22, 2020","2020","Sep","1","","1","","","","","Presumed drowning","Rio Bravo in Tamaulipas, Mexico","Instituto Nacional de Migración (Grupos Beta)","26.068961270534, -98.251501330273","","","Central America","5"
"54429","US-Mexico Border","September 22, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.521533000000, 32.384167000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54146","North Africa","September 22, 2020","2020","Sep","1","","1","","","1","","Illness (diagnosed with COVID-19 but died due to other pathologies)","Hospital de La Candelaria, Santa Cruz de Tenerife, Tenerife, Canary Islands, Spain - after arriving by boat on 8 September","El Diario","28.448062500000, -16.285614800000","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/NlrQw","Uncategorized","1"
"54158","East Asia","September 22, 2020","2020","Sep","1","","1","","","1","","Shot","In North Korea's territorial waters - He disappeared about 10km from the border with North Korea, near the island of Yeonpyeong.","The New York Times, The Guardian","37.700802097170, 125.656856515620","","https://archive.ph/84oIE, https://archive.vn/wdtGw","Uncategorized","3"
"54142","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","Dehydration","Local hospital in Tucson, Pima County, Arizona, USA","US Border Patrol","32.222606600000, -110.974710800000","","https://archive.ph/NkOUr","Northern America","5"
"54430","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-110.780728000000, 31.355835000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54754","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","","","Unknown","In a hospital in Chiapas, Mexico","Instituto Nacional de Migración (Grupos Beta)","16.756931800000, -93.129235300000","","","Central America","5"
"54159","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","Unknown (decomposed remains)","On a ranch about 80 miles from the US-Mexico border, in Brooks County, Texas, USA","Breitbart","27.027305700000, -98.221297900000","","https://archive.vn/hp9Hc","Northern America","1"
"54428","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","Unknown","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.646555000000, 31.772121000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54643","Horn of Africa","September 21, 2020","2020","Sep","1","","1","10","","","","Vehicle Accident","Ainabo, Sool region, Somalia","IOM Somalia","8.954125400000, 46.415281000000","","","Eastern Africa","4"
"54145","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","","","Shot","East of Nogales, Arizona, USA","US Border Patrol","31.340377500000, -110.934253200000","","https://archive.ph/fqdAH","Northern America","5"
"54427","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.427667000000, 32.139000000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54144","Mediterranean","September 21, 2020","2020","Sep","1","","1","","","","","Presumed drowning","Body recovered at Almutred Shore, Libya","IOM Libya","31.374583615634, 17.140440375000","Central Mediterranean","","Uncategorized","4"
"54426","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-111.845193000000, 31.687166000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54247","Mediterranean","September 21, 2020","2020","Sep","","111","111","4","1","5","3","Presumed drowning","Unspecified location off the coast of Sabratha, Libya","Alarm Phone, IOM Libya","32.905385377268, 12.461195073633","Central Mediterranean","https://archive.vn/c94jI","Uncategorized","4"
"54425","US-Mexico Border","September 21, 2020","2020","Sep","1","","1","","","1","","","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-110.955646000000, 31.957581800000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54168","Europe","September 20, 2020","2020","Sep","1","","1","","","1","","Accident (crushed between truck and tree)","Gökçetepe National Park, Keşan District, Edirne, Turkey","Kesaninnesesi via IOM Turkey","40.638121900000, 26.611034200000","","https://archive.ph/LHwzK","Western Asia","1"
"54424","US-Mexico Border","September 20, 2020","2020","Sep","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-113.130192000000, 32.401767000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54141","Southeast Asia","September 20, 2020","2020","Sep","6","","6","9","4","2","","Drowning","Bodies washed ashore at Bandar Penawar, Kota Tinggi, Johor, Malaysia","FMT News, The Star","1.564639900000, 104.245139300000","","https://archive.vn/DrDK3, https://archive.vn/ERC9G","Uncategorized","3"
"54197","Central America","September 19, 2020","2020","Sep","1","","1","","","1","","Illness (COVID-19)","Hospital de Alta Especialidad de Veracruz,Heroica de Veracruz City,Mexico","La Silla Rota, Cambio Digital","19.185576700000, -96.132169400000","","https://archive.ph/siuEU, https://archive.vn/IQSwk","Central America","3"
"54423","US-Mexico Border","September 19, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.789810000000, 31.891300000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54140","Mediterranean","September 19, 2020","2020","Sep","1","","1","","","","","Presumed drowning","Body recovered at Almutred Shore, Libya","IOM Libya","31.636853939951, 17.492002875000","Central Mediterranean","","Uncategorized","4"
"54422","US-Mexico Border","September 19, 2020","2020","Sep","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.794840000000, 31.884740000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54139","Mediterranean","September 19, 2020","2020","Sep","1","","1","","","","","Pressumed drowning","Body recovered at Al harsha, Azzawaya, Libya","IOM Libya","32.851682600378, 12.671927608984","Central Mediterranean","","Uncategorized","4"
"54138","Mediterranean","September 19, 2020","2020","Sep","","3","3","51","","","","Presumed drowning","Boat capsized off Garabulli, Libya","Alarm Phone","32.826196796278, 13.697440925781","Central Mediterranean","https://archive.vn/2hQPJ, https://archive.vn/7DDGP","Uncategorized","4"
"54136","Mediterranean","September 19, 2020","2020","Sep","2","","2","17","2","","1","Drowning","Off the coast of Muğla’s Bodrum district/Akyarlar, Turkey","Turkish Coast Guard, IOM Turkey","37.017961282704, 27.420926962891","Eastern Mediterranean","https://archive.ph/0fmEP","Uncategorized","5"
"54157","Mediterranean","September 19, 2020","2020","Sep","5","","5","","","","","Presumed drowning","Bodies recovered at unspecified location off the coast of Algeria","Algeria Ministry of Defense","36.683617561259, 1.669921875000","Western Mediterranean","https://archive.ph/UCMlh","Uncategorized","5"
"54160","US-Mexico Border","September 18, 2020","2020","Sep","1","","1","","","1","","Unknown (decomposed remains)","45 minutes away from Arivaca, Pima County, Arizona, USA ","Toda Noticia","31.577335100000, -111.331452200000","","https://archive.vn/HgzdL","Northern America","1"
